"Index Name","Date","Open","High","Low","Close"
"NIFTY NEXT 50","31 Jul 2020","26657.95","26927.50","26560.90","26861.35"
"NIFTY NEXT 50","30 Jul 2020","26539.45","26633.85","26346.50","26565.40"
"NIFTY NEXT 50","29 Jul 2020","26337.85","26509.75","26281.95","26433.05"
"NIFTY NEXT 50","28 Jul 2020","26207.40","26349.10","26194.60","26309.75"
"NIFTY NEXT 50","27 Jul 2020","26412.40","26420.90","25973.45","26134.30"
"NIFTY NEXT 50","24 Jul 2020","26532.00","26670.15","26224.40","26340.55"
"NIFTY NEXT 50","23 Jul 2020","26495.10","26678.60","26451.10","26642.30"
"NIFTY NEXT 50","22 Jul 2020","26658.45","26670.00","26267.80","26426.85"
"NIFTY NEXT 50","21 Jul 2020","26719.55","26747.50","26462.65","26571.60"
"NIFTY NEXT 50","20 Jul 2020","26505.15","26598.75","26409.70","26525.75"
"NIFTY NEXT 50","17 Jul 2020","26036.40","26410.70","26026.75","26375.80"
"NIFTY NEXT 50","16 Jul 2020","25979.80","25991.95","25614.15","25950.05"
"NIFTY NEXT 50","15 Jul 2020","26172.95","26279.20","25810.90","25875.25"
"NIFTY NEXT 50","14 Jul 2020","26233.95","26324.10","25936.45","26016.90"
"NIFTY NEXT 50","13 Jul 2020","26351.70","26376.70","26092.85","26274.85"
"NIFTY NEXT 50","10 Jul 2020","26246.35","26405.80","26124.75","26208.65"
"NIFTY NEXT 50","09 Jul 2020","26377.45","26494.65","26202.00","26268.60"
"NIFTY NEXT 50","08 Jul 2020","26473.35","26530.35","26243.15","26299.50"
"NIFTY NEXT 50","07 Jul 2020","26352.75","26435.35","26135.95","26390.60"
"NIFTY NEXT 50","06 Jul 2020","26318.45","26367.75","26237.30","26264.85"
"NIFTY NEXT 50","03 Jul 2020","26109.10","26177.10","26053.90","26146.25"
"NIFTY NEXT 50","02 Jul 2020","25801.40","25975.95","25781.55","25947.50"
"NIFTY NEXT 50","01 Jul 2020","25846.10","25847.60","25679.25","25755.45"
"NIFTY NEXT 50","30 Jun 2020","25910.25","25990.60","25669.00","25743.70"
"NIFTY NEXT 50","29 Jun 2020","25932.75","25991.60","25631.80","25759.50"
"NIFTY NEXT 50","26 Jun 2020","26142.10","26264.95","25895.30","25974.50"
"NIFTY NEXT 50","25 Jun 2020","25774.85","26142.85","25722.70","25931.05"
"NIFTY NEXT 50","24 Jun 2020","26420.80","26557.00","25824.30","25911.95"
"NIFTY NEXT 50","23 Jun 2020","25871.80","26222.60","25816.35","26188.85"
"NIFTY NEXT 50","22 Jun 2020","25479.50","25794.65","25428.35","25723.30"
"NIFTY NEXT 50","19 Jun 2020","25074.85","25288.90","25039.20","25227.00"
"NIFTY NEXT 50","18 Jun 2020","24837.10","24987.50","24789.10","24953.65"
"NIFTY NEXT 50","17 Jun 2020","24784.95","25066.40","24754.65","24883.80"
"NIFTY NEXT 50","16 Jun 2020","25119.60","25184.25","24543.75","24863.45"
"NIFTY NEXT 50","15 Jun 2020","25053.30","25203.35","24698.50","24793.30"
"NIFTY NEXT 50","12 Jun 2020","23913.85","25071.95","23907.35","25018.75"
"NIFTY NEXT 50","11 Jun 2020","25142.00","25387.90","24728.55","24768.80"
"NIFTY NEXT 50","10 Jun 2020","25188.75","25241.00","24963.70","25153.75"
"NIFTY NEXT 50","09 Jun 2020","25489.00","25666.15","25046.05","25162.65"
"NIFTY NEXT 50","08 Jun 2020","25681.45","25699.25","25208.70","25329.45"
"NIFTY NEXT 50","05 Jun 2020","25048.80","25368.25","24947.00","25324.80"
"NIFTY NEXT 50","04 Jun 2020","24850.30","25083.85","24585.35","24854.80"
"NIFTY NEXT 50","03 Jun 2020","24844.35","25065.95","24673.60","24745.20"
"NIFTY NEXT 50","02 Jun 2020","24561.70","24716.55","24440.95","24600.00"
"NIFTY NEXT 50","01 Jun 2020","24291.45","24545.15","24273.65","24440.50"
"NIFTY NEXT 50","29 May 2020","23413.15","24152.30","23366.40","24065.00"
"NIFTY NEXT 50","28 May 2020","23163.25","23539.95","23114.50","23496.50"
"NIFTY NEXT 50","27 May 2020","23089.80","23140.25","22855.35","23088.50"
"NIFTY NEXT 50","26 May 2020","23111.95","23175.50","23000.50","23061.80"
"NIFTY NEXT 50","22 May 2020","23231.10","23413.15","23011.60","23031.55"
"NIFTY NEXT 50","21 May 2020","23097.20","23384.75","23055.90","23283.05"
"NIFTY NEXT 50","20 May 2020","22581.50","23070.15","22528.85","23003.10"
"NIFTY NEXT 50","19 May 2020","22715.50","22868.55","22477.70","22567.80"
"NIFTY NEXT 50","18 May 2020","23186.50","23191.85","22365.30","22447.40"
"NIFTY NEXT 50","15 May 2020","23378.30","23397.95","23105.80","23177.80"
"NIFTY NEXT 50","14 May 2020","23330.05","23535.35","23217.25","23306.60"
"NIFTY NEXT 50","13 May 2020","23876.40","23891.75","23359.50","23457.65"
"NIFTY NEXT 50","12 May 2020","23087.95","23239.35","22794.95","23164.65"
"NIFTY NEXT 50","11 May 2020","23182.35","23371.80","23161.90","23201.45"
"NIFTY NEXT 50","08 May 2020","23030.00","23123.30","22919.45","22959.50"
"NIFTY NEXT 50","07 May 2020","22974.15","23125.45","22716.35","22759.85"
"NIFTY NEXT 50","06 May 2020","22823.95","23099.80","22527.25","23009.80"
"NIFTY NEXT 50","05 May 2020","23435.70","23556.30","22740.90","22791.50"
"NIFTY NEXT 50","04 May 2020","23432.00","23486.15","23077.75","23108.95"
"NIFTY NEXT 50","30 Apr 2020","23967.45","24164.30","23845.30","24102.75"
"NIFTY NEXT 50","29 Apr 2020","23498.20","23694.70","23426.55","23624.05"
"NIFTY NEXT 50","28 Apr 2020","23680.25","23691.60","23234.40","23367.95"
"NIFTY NEXT 50","27 Apr 2020","23170.75","23490.70","23158.55","23429.25"
"NIFTY NEXT 50","24 Apr 2020","23117.60","23335.00","22930.80","22963.80"
"NIFTY NEXT 50","23 Apr 2020","23438.50","23828.50","23305.90","23372.65"
"NIFTY NEXT 50","22 Apr 2020","23027.95","23361.30","22769.45","23310.75"
"NIFTY NEXT 50","21 Apr 2020","22953.35","23183.60","22787.50","23022.85"
"NIFTY NEXT 50","20 Apr 2020","23726.60","23730.10","23371.25","23395.40"
"NIFTY NEXT 50","17 Apr 2020","23862.15","23917.95","23215.00","23513.70"
"NIFTY NEXT 50","16 Apr 2020","22950.30","23394.55","22735.70","23222.85"
"NIFTY NEXT 50","15 Apr 2020","23056.15","23598.95","22853.75","23051.15"
"NIFTY NEXT 50","13 Apr 2020","22903.55","22950.50","22389.60","22864.50"
"NIFTY NEXT 50","09 Apr 2020","22602.80","23044.30","22582.30","22898.85"
"NIFTY NEXT 50","08 Apr 2020","21675.50","22700.45","21565.95","22139.65"
"NIFTY NEXT 50","07 Apr 2020","21068.50","21766.40","20841.10","21702.30"
"NIFTY NEXT 50","03 Apr 2020","20730.70","20744.30","20277.25","20399.70"
"NIFTY NEXT 50","01 Apr 2020","21168.30","21286.00","20592.65","20664.55"
"NIFTY NEXT 50","31 Mar 2020","20788.05","21194.70","20429.35","21116.25"
"NIFTY NEXT 50","30 Mar 2020","20085.80","20609.25","19776.50","20263.00"
"NIFTY NEXT 50","27 Mar 2020","21002.40","21482.05","20206.90","20431.60"
"NIFTY NEXT 50","26 Mar 2020","19714.50","20713.50","19490.75","20459.85"
"NIFTY NEXT 50","25 Mar 2020","18504.40","19502.70","18482.45","19393.00"
"NIFTY NEXT 50","24 Mar 2020","18781.00","19379.10","18384.05","18720.10"
"NIFTY NEXT 50","23 Mar 2020","19308.85","19803.30","18442.95","18524.65"
"NIFTY NEXT 50","20 Mar 2020","20421.75","21369.40","20071.05","20963.80"
"NIFTY NEXT 50","19 Mar 2020","19964.05","20975.15","19387.65","20238.25"
"NIFTY NEXT 50","18 Mar 2020","22300.85","22370.80","20816.00","20924.75"
"NIFTY NEXT 50","17 Mar 2020","22210.00","22802.55","21843.00","22003.15"
"NIFTY NEXT 50","16 Mar 2020","22653.00","23190.15","21998.45","22184.35"
"NIFTY NEXT 50","13 Mar 2020","21140.65","23851.45","20224.00","23423.80"
"NIFTY NEXT 50","12 Mar 2020","24047.10","24087.45","22629.65","22776.40"
"NIFTY NEXT 50","11 Mar 2020","25065.40","25454.30","24888.10","24955.60"
"NIFTY NEXT 50","09 Mar 2020","25843.85","25899.45","25009.35","25139.45"
"NIFTY NEXT 50","06 Mar 2020","26000.05","26397.70","25905.75","26291.85"
"NIFTY NEXT 50","05 Mar 2020","26874.70","27097.90","26710.85","26877.55"
"NIFTY NEXT 50","04 Mar 2020","27077.35","27103.30","26367.10","26717.15"
"NIFTY NEXT 50","03 Mar 2020","26609.25","27035.55","26557.40","26926.30"
"NIFTY NEXT 50","02 Mar 2020","26870.10","27216.20","26164.40","26404.30"
"NIFTY NEXT 50","28 Feb 2020","26859.65","26887.50","26287.90","26482.00"
"NIFTY NEXT 50","27 Feb 2020","27451.50","27458.55","27087.35","27404.30"
"NIFTY NEXT 50","26 Feb 2020","27757.65","27826.25","27401.15","27470.15"
"NIFTY NEXT 50","25 Feb 2020","28217.20","28356.05","27835.25","27863.65"
"NIFTY NEXT 50","24 Feb 2020","28478.80","28599.25","28011.10","28073.90"
"NIFTY NEXT 50","20 Feb 2020","28632.20","28958.75","28627.55","28669.80"
"NIFTY NEXT 50","19 Feb 2020","28290.20","28643.35","28284.75","28630.75"
"NIFTY NEXT 50","18 Feb 2020","28116.45","28116.45","27750.75","28060.35"
"NIFTY NEXT 50","17 Feb 2020","28513.65","28572.75","28143.40","28169.60"
"NIFTY NEXT 50","14 Feb 2020","28790.40","28894.65","28453.50","28501.05"
"NIFTY NEXT 50","13 Feb 2020","28829.50","28844.65","28682.75","28807.60"
"NIFTY NEXT 50","12 Feb 2020","28927.40","29045.95","28743.45","28855.35"
"NIFTY NEXT 50","11 Feb 2020","29086.65","29129.15","28821.20","28854.35"
"NIFTY NEXT 50","10 Feb 2020","29066.95","29075.35","28851.35","28953.70"
"NIFTY NEXT 50","07 Feb 2020","28900.00","29088.25","28814.25","29046.45"
"NIFTY NEXT 50","06 Feb 2020","28625.30","28934.70","28599.95","28871.35"
"NIFTY NEXT 50","05 Feb 2020","28235.30","28565.75","28172.05","28537.80"
"NIFTY NEXT 50","04 Feb 2020","27728.85","28243.10","27722.50","28112.45"
"NIFTY NEXT 50","03 Feb 2020","27302.10","27672.45","27193.85","27534.70"
"NIFTY NEXT 50","01 Feb 2020","28283.10","28617.90","27215.60","27340.50"
"NIFTY NEXT 50","31 Jan 2020","28656.10","28694.30","28263.15","28294.60"
"NIFTY NEXT 50","30 Jan 2020","29078.75","29094.85","28423.30","28533.00"
"NIFTY NEXT 50","29 Jan 2020","29025.20","29145.70","28980.75","29045.40"
"NIFTY NEXT 50","28 Jan 2020","29034.75","29144.10","28846.95","28888.75"
"NIFTY NEXT 50","27 Jan 2020","29058.75","29259.50","28895.00","28960.75"
"NIFTY NEXT 50","24 Jan 2020","28888.60","29204.40","28835.20","29153.75"
"NIFTY NEXT 50","23 Jan 2020","28638.35","28936.75","28604.95","28898.30"
"NIFTY NEXT 50","22 Jan 2020","28711.35","28742.00","28552.90","28593.00"
"NIFTY NEXT 50","21 Jan 2020","28699.10","28801.20","28583.85","28617.35"
"NIFTY NEXT 50","20 Jan 2020","29122.85","29162.70","28724.40","28754.45"
"NIFTY NEXT 50","17 Jan 2020","28957.30","29083.95","28929.25","29034.85"
"NIFTY NEXT 50","16 Jan 2020","29068.20","29101.55","28898.25","28978.60"
"NIFTY NEXT 50","15 Jan 2020","28862.50","28986.05","28716.65","28957.95"
"NIFTY NEXT 50","14 Jan 2020","28836.50","28917.00","28770.00","28845.25"
"NIFTY NEXT 50","13 Jan 2020","28669.35","28807.45","28631.25","28783.55"
"NIFTY NEXT 50","10 Jan 2020","28556.70","28680.70","28463.25","28556.05"
"NIFTY NEXT 50","09 Jan 2020","28397.10","28517.05","28349.35","28484.30"
"NIFTY NEXT 50","08 Jan 2020","27739.05","28145.40","27738.40","28113.55"
"NIFTY NEXT 50","07 Jan 2020","28049.55","28347.30","27971.75","28101.20"
"NIFTY NEXT 50","06 Jan 2020","28316.45","28338.35","27831.35","27894.90"
"NIFTY NEXT 50","03 Jan 2020","28493.60","28585.90","28385.60","28478.95"
"NIFTY NEXT 50","02 Jan 2020","28325.45","28552.80","28314.55","28535.40"
"NIFTY NEXT 50","01 Jan 2020","28353.45","28436.80","28272.30","28293.35"
